family,checkpoint,cluster_seed,effective_modes,normalized_cluster_entropy,nearest_neighbor_distance
WGAN-GP,image_28,2,8.241832863775695,0.9160238032150282,8.999574366700141
WGAN-GP,image_29,2,8.120656606635235,0.9095911461265975,9.305992922644057
WGAN-GP,image_30,2,8.186269822592767,0.9130860550578361,8.658540874243354
WGAN-GP,image_31,2,8.30339710556373,0.9192558083232355,9.45814039401464
WGAN-GP,image_32,2,7.943764106266663,0.9000263391041676,8.83580151564685
Conditional WGAN-GP,image_90,2,8.014739315445357,0.9038894012123401,7.648828742694967
Conditional WGAN-GP,image_91,2,7.455153590063793,0.8724565951572318,7.574183816857928
Conditional WGAN-GP,image_92,2,8.407030943410206,0.9246426459097966,8.881129102673384
Conditional WGAN-GP,image_93,2,7.700717830433293,0.8865312102719142,8.08360566331848
Conditional WGAN-GP,image_94,2,7.677547056266994,0.8852224869470136,7.7095149315501175
Conditional WGAN-GP,image_95,2,6.967456048267569,0.8430742378008322,7.33131681883515
Conditional WGAN-GP,image_96,2,6.965191829057717,0.8429330818732623,7.842370613749964
Conditional WGAN-GP,image_97,2,8.398207148491366,0.9241865826545304,8.214120855581275
Conditional WGAN-GP,image_98,2,7.606152403438116,0.8811650230620338,8.281799383914048
Conditional WGAN-GP,image_99,2,7.375832576831301,0.86781105015735,7.851180197716252
